id,kind,at,title,meta,body
file-motor-bench-2025,file,2025-11-03,blower_motor_bench_tests_lot4471_DO_NOT_LOSE.xlsx,Desktop/motors/,"Bench data, 40 units sampled from blower motor Lot 4471 (Ohio plant, installed across the fleet over the last 18 months). Thermal cutoff trips at 3.6 to 4.1 hours of continuous wave under summer load, versus 11+ hours for Lot 4102 and Lot 4200. Housing temp at trip: 84C. Motor restarts clean after 40 min cooling, then trips again. Conclusion in plain English: 4471 runs hot. It is the lot, not the fleet. If anyone ever proposes pulling all 11,000 tube men over this, show them column D and charge them for the coffee. Units on 4471: 1,850."
slack-4471-hot,slack,2025-11-04,#plant-floor,Gary Baszo -> #plant-floor,"ran the 4471 bench overnight. that lot runs hotter than a parade tarmac in June. the other lots are fine. write it down somewhere people look, which rules out my desk. also whoever set the test rig fan to WAVE MODE, the rig is not supposed to dance, it is supposed to science."
meeting-fleet-review-2025,meeting,2025-11-06,"Fleet Reliability Review, November","Attendees: Gary Baszo, Walt Brzezinski, Dale Withers. Transcribed by MeetingMinder.","WALT: Field reports say random units cutting out after long runs. DALE: AutoPlex will notice. Deb notices everything. GARY: It is not random. It is Lot 4471. Eighteen hundred fifty units, installed the last eighteen months, thermal cutoff on the blower. The rest of the fleet could wave through a heat dome. WALT: So a scoped swap. GARY: Scoped swap. Pull 4471, leave the rest standing. A tube man's whole job is getting back up; let us not lay off ten thousand of them for one lot's mistake. ACTION: Gary to file bench data. Status: filed, allegedly."
email-tristate-1998,email,1998-03-12,RE: RE: your overflow problem (and my overflow problem),From: marv@tristateweldinggas.com  To: gary.baszo@grandinflation.com,"Gary. Like I told Gusty over cards: our industrial helium allocation runs a structural surplus in summer, everyone welds in the fall. The contract has an assignment clause, Section 6, written by my lawyer nephew who owed me a favor. If Grand Inflation ever gets pinched, the allocation assigns to you at 1.4x list. That is not gouging, that is friendship with a service charge. Say hello to the big swan. Marv. P.S. We are gas men, Gary. Nobody understands us, and when we explain ourselves, everyone laughs at the voice."
file-helium-emergency-map,file,2014-07-22,WHERE_THE_OTHER_HELIUM_IS.doc,Desktop/helium/,"If you are reading this, the allocation got cut and everyone upstairs is breathing into a paper bag, which at least is not a helium waste. Options, in order: 1) Tri-State Welding Gas, Marv Kowalik. Assignable allocation, Section 6, 1.4x list. Summer surplus is structural: welders weld in the fall. One phone call and a signature. 2) Stadium draw is the swing capacity: dark-store rigs cut game-day helium 80 percent and nobody in section 130 can tell. 3) Suspend B2C party kit fills. Children forgive. Liquidated damages do not. 4) There is no option four. The parade flies."
meeting-helium-1996,meeting,1996-09-30,Post-mortem: the September squeeze,"Attendees: Gary Baszo, Gusty Womplerton Jr. Handwritten, digitized 2026.","GUSTY JR: We nearly missed Frostbite Falls over a helium invoice. GARY: We fly on contracts, not on hope. Get a second source with an assignment clause, keep it warm with a Christmas card every year. GUSTY JR: Who? GARY: Marv at Tri-State. He owes your father from cards and he over-ordered for fall welding season like he does every year. Helium is the one supplier relationship where, if it goes bad, everyone's voice gets funny in the meeting about it."
email-deb-2023,email,2023-05-18,"who actually signs at AutoPlex (save this, Dale)",From: gary.baszo@grandinflation.com  To: dale.withers@grandinflation.com,"Dale. The org chart says VP Marketing owns our contract. The org chart is a bedtime story. Deb Kowalski, fleet procurement, has final signature on every dollar that touches the dealerships. I know because in 2019 the VP approved the inflatable gorilla program and Deb un-approved it in one email with no adjectives. Send your uptime reports to Deb. Copy the VP if it makes him feel aerodynamic. And never promise Deb a date you got from hope instead of the ERP; that woman can smell an uninflated number through a phone line."
meeting-autoplex-2019,meeting,2019-04-11,AutoPlex QBR debrief,"Attendees: Gary Baszo, Dale Withers. Transcribed by MeetingMinder.","DALE: Gorilla program is approved, VP loved it. GARY: It is not approved. DALE: I watched him approve it. GARY: You watched him enjoy it. Deb Kowalski approves things. Watch. [Editor's note, appended 2019-04-14: Deb killed the gorilla program in one email. Gary printed the email. It is on the shop wall under the caption THE ORG CHART IS NOT LOAD-BEARING.]"
file-wind-rules,file,2009-11-20,parade_wind_rules_plain_english.txt,Desktop/parade/,"Section 11.3 of the Harvest Parade agreement, translated from lawyer: sustained 23 mph or gusts 34 mph is the line. At the line, a joint go/no-go call at 06:00 parade morning, us and parade ops together, names attached, in writing. Below the line you can still fly a modified launch: fewer balloons, low-altitude rig, more handlers per line. The balloons do not read the contract. The wind does not read the forecast. The 06:00 call is where humans earn their salary. I have flown 39 parades and scrubbed 2, and the scrubs are the ones I sleep well about."
meeting-marsh-2021,meeting,2021-11-19,Pre-parade wind briefing with Harvest Parade Partners,"Attendees: Gary Baszo, Colleen Marsh (Harvest Parade Partners). Transcribed by MeetingMinder.","COLLEEN: How do you want to run the morning call if Thursday is marginal? GARY: You bring the forecast, I bring the riggers' hands. Colleen decides with data and she decides early; do not bring her vibes at 06:00, bring her numbers at 05:45. COLLEEN: And if it is inside the envelope but trending wrong? GARY: Then we fly nine balloons low instead of sixteen balloons proud. A parade with fewer balloons is still a parade. A balloon in a power line is a career."
