id,day,account,category,debit_usd,credit_usd,memo
1,-360,TMaaS subscriptions,revenue,0,2914581,"Monthly revenue, TMaaS subscriptions"
2,-360,Parade contracts,revenue,0,727282,"Monthly revenue, Parade contracts"
3,-360,Stadium programs,revenue,0,692037,"Monthly revenue, Stadium programs"
4,-360,Pool floats DTC,revenue,0,1625528,"Monthly revenue, Pool floats DTC"
5,-360,Bounce rentals,revenue,0,818109,"Monthly revenue, Bounce rentals"
6,-360,Float Club,revenue,0,168284,"Monthly revenue, Float Club"
7,-360,Operating expenses,opex,6790811,0,"Payroll, plants, freight, helium, insurance"
8,-330,TMaaS subscriptions,revenue,0,2914517,"Monthly revenue, TMaaS subscriptions"
9,-330,Parade contracts,revenue,0,779421,"Monthly revenue, Parade contracts"
10,-330,Stadium programs,revenue,0,665939,"Monthly revenue, Stadium programs"
11,-330,Pool floats DTC,revenue,0,1671126,"Monthly revenue, Pool floats DTC"
12,-330,Bounce rentals,revenue,0,841998,"Monthly revenue, Bounce rentals"
13,-330,Float Club,revenue,0,168925,"Monthly revenue, Float Club"
14,-330,Operating expenses,opex,6860842,0,"Payroll, plants, freight, helium, insurance"
15,-300,TMaaS subscriptions,revenue,0,2889672,"Monthly revenue, TMaaS subscriptions"
16,-300,Parade contracts,revenue,0,730823,"Monthly revenue, Parade contracts"
17,-300,Stadium programs,revenue,0,690230,"Monthly revenue, Stadium programs"
18,-300,Pool floats DTC,revenue,0,1571075,"Monthly revenue, Pool floats DTC"
19,-300,Bounce rentals,revenue,0,878307,"Monthly revenue, Bounce rentals"
20,-300,Float Club,revenue,0,157803,"Monthly revenue, Float Club"
21,-300,Operating expenses,opex,6706271,0,"Payroll, plants, freight, helium, insurance"
22,-270,TMaaS subscriptions,revenue,0,3094947,"Monthly revenue, TMaaS subscriptions"
23,-270,Parade contracts,revenue,0,730718,"Monthly revenue, Parade contracts"
24,-270,Stadium programs,revenue,0,658184,"Monthly revenue, Stadium programs"
25,-270,Pool floats DTC,revenue,0,1606888,"Monthly revenue, Pool floats DTC"
26,-270,Bounce rentals,revenue,0,876180,"Monthly revenue, Bounce rentals"
27,-270,Float Club,revenue,0,168883,"Monthly revenue, Float Club"
28,-270,Operating expenses,opex,6544813,0,"Payroll, plants, freight, helium, insurance"
29,-240,TMaaS subscriptions,revenue,0,2821786,"Monthly revenue, TMaaS subscriptions"
30,-240,Parade contracts,revenue,0,727827,"Monthly revenue, Parade contracts"
31,-240,Stadium programs,revenue,0,695129,"Monthly revenue, Stadium programs"
32,-240,Pool floats DTC,revenue,0,1752411,"Monthly revenue, Pool floats DTC"
33,-240,Bounce rentals,revenue,0,846249,"Monthly revenue, Bounce rentals"
34,-240,Float Club,revenue,0,175878,"Monthly revenue, Float Club"
35,-240,Operating expenses,opex,6819418,0,"Payroll, plants, freight, helium, insurance"
36,-210,TMaaS subscriptions,revenue,0,2869519,"Monthly revenue, TMaaS subscriptions"
37,-210,Parade contracts,revenue,0,771070,"Monthly revenue, Parade contracts"
38,-210,Stadium programs,revenue,0,663656,"Monthly revenue, Stadium programs"
39,-210,Pool floats DTC,revenue,0,1721456,"Monthly revenue, Pool floats DTC"
40,-210,Bounce rentals,revenue,0,854562,"Monthly revenue, Bounce rentals"
41,-210,Float Club,revenue,0,175853,"Monthly revenue, Float Club"
42,-210,Operating expenses,opex,6534108,0,"Payroll, plants, freight, helium, insurance"
43,-180,TMaaS subscriptions,revenue,0,2883977,"Monthly revenue, TMaaS subscriptions"
44,-180,Parade contracts,revenue,0,751207,"Monthly revenue, Parade contracts"
45,-180,Stadium programs,revenue,0,686182,"Monthly revenue, Stadium programs"
46,-180,Pool floats DTC,revenue,0,1764667,"Monthly revenue, Pool floats DTC"
47,-180,Bounce rentals,revenue,0,839759,"Monthly revenue, Bounce rentals"
48,-180,Float Club,revenue,0,163823,"Monthly revenue, Float Club"
49,-180,Operating expenses,opex,6794397,0,"Payroll, plants, freight, helium, insurance"
50,-150,TMaaS subscriptions,revenue,0,2811508,"Monthly revenue, TMaaS subscriptions"
51,-150,Parade contracts,revenue,0,775665,"Monthly revenue, Parade contracts"
52,-150,Stadium programs,revenue,0,683095,"Monthly revenue, Stadium programs"
53,-150,Pool floats DTC,revenue,0,1573384,"Monthly revenue, Pool floats DTC"
54,-150,Bounce rentals,revenue,0,838423,"Monthly revenue, Bounce rentals"
55,-150,Float Club,revenue,0,166522,"Monthly revenue, Float Club"
56,-150,Operating expenses,opex,6870579,0,"Payroll, plants, freight, helium, insurance"
57,-120,TMaaS subscriptions,revenue,0,3087474,"Monthly revenue, TMaaS subscriptions"
58,-120,Parade contracts,revenue,0,757797,"Monthly revenue, Parade contracts"
59,-120,Stadium programs,revenue,0,630273,"Monthly revenue, Stadium programs"
60,-120,Pool floats DTC,revenue,0,1714421,"Monthly revenue, Pool floats DTC"
61,-120,Bounce rentals,revenue,0,792116,"Monthly revenue, Bounce rentals"
62,-120,Float Club,revenue,0,163630,"Monthly revenue, Float Club"
63,-120,Operating expenses,opex,6580053,0,"Payroll, plants, freight, helium, insurance"
64,-90,TMaaS subscriptions,revenue,0,3102400,"Monthly revenue, TMaaS subscriptions"
65,-90,Parade contracts,revenue,0,787876,"Monthly revenue, Parade contracts"
66,-90,Stadium programs,revenue,0,638084,"Monthly revenue, Stadium programs"
67,-90,Pool floats DTC,revenue,0,1589017,"Monthly revenue, Pool floats DTC"
68,-90,Bounce rentals,revenue,0,792122,"Monthly revenue, Bounce rentals"
69,-90,Float Club,revenue,0,172994,"Monthly revenue, Float Club"
70,-90,Operating expenses,opex,6861035,0,"Payroll, plants, freight, helium, insurance"
71,-60,TMaaS subscriptions,revenue,0,3132574,"Monthly revenue, TMaaS subscriptions"
72,-60,Parade contracts,revenue,0,715106,"Monthly revenue, Parade contracts"
73,-60,Stadium programs,revenue,0,681482,"Monthly revenue, Stadium programs"
74,-60,Pool floats DTC,revenue,0,1731096,"Monthly revenue, Pool floats DTC"
75,-60,Bounce rentals,revenue,0,800427,"Monthly revenue, Bounce rentals"
76,-60,Float Club,revenue,0,168499,"Monthly revenue, Float Club"
77,-60,Operating expenses,opex,6809810,0,"Payroll, plants, freight, helium, insurance"
78,-30,TMaaS subscriptions,revenue,0,3121353,"Monthly revenue, TMaaS subscriptions"
79,-30,Parade contracts,revenue,0,755751,"Monthly revenue, Parade contracts"
80,-30,Stadium programs,revenue,0,679353,"Monthly revenue, Stadium programs"
81,-30,Pool floats DTC,revenue,0,1580265,"Monthly revenue, Pool floats DTC"
82,-30,Bounce rentals,revenue,0,879588,"Monthly revenue, Bounce rentals"
83,-30,Float Club,revenue,0,166383,"Monthly revenue, Float Club"
84,-30,Operating expenses,opex,6814149,0,"Payroll, plants, freight, helium, insurance"
