id,handle,body,likes,reposts,sentiment,tag,at
post-base-1,@dealhunterdiaries,Got the Lazy Kraken for the lake house. The kids have formed a government on it.,256,10,0.8,,-13736
post-base-2,@aunt_carol_official,Grand Inflation repair kit fixed the swan in 20 min. Family company that still answers the phone. Respect.,214,72,0.9,,-13148
post-base-3,@swimlaneshannon,Grand Inflation repair kit fixed the swan in 20 min. Family company that still answers the phone. Respect.,495,30,0.9,,-12401
post-base-4,@cabanaclaire,Got the Lazy Kraken for the lake house. The kids have formed a government on it.,214,27,0.8,,-11688
post-base-5,@grillsgonewild,Grand Inflation repair kit fixed the swan in 20 min. Family company that still answers the phone. Respect.,242,33,0.9,,-12036
post-base-6,@brendasbackyard,Grand Inflation repair kit fixed the swan in 20 min. Family company that still answers the phone. Respect.,844,63,0.9,,-10437
post-base-7,@poolcorephoebe,Tube man outside the dealership on Route 6 is doing numbers today. Absolute professional.,181,53,0.7,,-10227
post-base-8,@yardgoalsgary,My Float Club box came with a tiny inflatable trophy this quarter?? unreasonably delighted,267,78,0.9,,-8745
post-base-9,@midwestmama,Why is the pizza float always the first to go flat. Metaphor for something.,183,2,-0.1,,-8904
post-base-10,@dadgrillmaster,Petition for a Colossal Swan in every municipal pool.,174,80,0.8,,-8990
post-base-11,@cabanaclaire,hot take: the swan is too big. counterpoint from my daughter: it is not big enough,269,51,0.3,,-7740
post-base-12,@floatgoals,Tube man outside the dealership on Route 6 is doing numbers today. Absolute professional.,397,70,0.7,,-7374
post-base-13,@couponqueenlinda,"Bounce house at the Hendersons again. Third weekend straight. Kids are fine, Dave has a sprained ankle.",766,16,0.4,,-6627
post-base-14,@grillsgonewild,Petition for a Colossal Swan in every municipal pool.,93,8,0.8,,-6172
post-base-15,@aunt_carol_official,Why is the pizza float always the first to go flat. Metaphor for something.,881,68,-0.1,,-6600
post-base-16,@brendasbackyard,"The mascot at the Thunder Ducks game tonight went HARD in the third. Whoever operates that thing, raise.",426,64,0.9,,-4590
post-base-17,@couponqueenlinda,Sir Reginald Unicorn has been in our pool since 2019. A veteran. A gentleman.,532,30,0.8,,-5219
post-base-18,@brendasbackyard,"The mascot at the Thunder Ducks game tonight went HARD in the third. Whoever operates that thing, raise.",359,58,0.9,,-4959
post-base-19,@couponqueenlinda,Petition for a Colossal Swan in every municipal pool.,133,77,0.8,,-3819
post-base-20,@hvacsteve,Petition for a Colossal Swan in every municipal pool.,617,26,0.8,,-3418
post-base-21,@cabanaclaire,Grand Inflation repair kit fixed the swan in 20 min. Family company that still answers the phone. Respect.,490,72,0.9,,-2326
post-base-22,@lakelifelarry,Why is the pizza float always the first to go flat. Metaphor for something.,827,19,-0.1,,-2160
post-base-23,@cabanaclaire,Tube man outside the dealership on Route 6 is doing numbers today. Absolute professional.,802,39,0.7,,-1723
post-base-24,@midwestmama,"The mascot at the Thunder Ducks game tonight went HARD in the third. Whoever operates that thing, raise.",531,76,0.9,,-455
post-base-25,@brendasbackyard,Grand Inflation repair kit fixed the swan in 20 min. Family company that still answers the phone. Respect.,755,42,0.9,,-61
post-base-26,@hvacsteve,hot take: the swan is too big. counterpoint from my daughter: it is not big enough,326,39,0.3,,-167
